23/03/17 05:04:00 394 [info]:  >> DB 접속됨 [threaId=108]
23/03/17 05:04:00 396 [info]:  >> Connection 임대됨 [threadId=108]
23/03/17 05:04:00 399 [info]:  >> Connection 반납됨 [threadId=108]
23/03/17 05:04:35 602 [info]:  >> Connection 임대됨 [threadId=108]
23/03/17 05:04:35 603 [info]:  >> Connection 반납됨 [threadId=108]
23/03/17 05:07:15 702 [info]:  >> Connection 임대됨 [threadId=108]
23/03/17 05:07:15 703 [info]:  >> Connection 반납됨 [threadId=108]
23/03/17 05:07:43 378 [info]:  >> DB 접속됨 [threaId=110]
23/03/17 05:07:43 380 [info]:  >> Connection 임대됨 [threadId=110]
23/03/17 05:07:43 385 [info]:  >> Connection 반납됨 [threadId=110]
23/03/17 05:10:58 860 [info]:  >> DB 접속됨 [threaId=112]
23/03/17 05:10:58 863 [info]:  >> Connection 임대됨 [threadId=112]
23/03/17 05:10:58 868 [info]:  >> Connection 반납됨 [threadId=112]
23/03/17 05:11:12 071 [info]:  >> DB 접속됨 [threaId=114]
23/03/17 05:11:12 073 [info]:  >> Connection 임대됨 [threadId=114]
23/03/17 05:11:12 079 [info]:  >> Connection 반납됨 [threadId=114]
23/03/17 05:11:41 808 [info]:  >> DB 접속됨 [threaId=116]
23/03/17 05:11:41 810 [info]:  >> Connection 임대됨 [threadId=116]
23/03/17 05:11:41 815 [info]:  >> Connection 반납됨 [threadId=116]
23/03/17 05:13:31 805 [info]:  >> DB 접속됨 [threaId=118]
23/03/17 05:13:31 809 [info]:  >> Connection 임대됨 [threadId=118]
23/03/17 05:13:31 813 [info]:  >> Connection 반납됨 [threadId=118]
23/03/17 05:14:53 916 [info]:  >> DB 접속됨 [threaId=120]
23/03/17 05:14:53 919 [info]:  >> Connection 임대됨 [threadId=120]
23/03/17 05:14:53 924 [info]:  >> Connection 반납됨 [threadId=120]
23/03/17 05:18:13 688 [info]:  >> Connection 임대됨 [threadId=120]
23/03/17 05:18:13 690 [info]:  >> Connection 반납됨 [threadId=120]
23/03/17 05:22:00 277 [info]:  >> DB 접속됨 [threaId=128]
23/03/17 05:22:00 281 [info]:  >> Connection 임대됨 [threadId=128]
23/03/17 05:22:00 286 [info]:  >> Connection 반납됨 [threadId=128]
23/03/17 05:24:04 203 [info]:  >> Connection 임대됨 [threadId=128]
23/03/17 05:24:04 205 [info]:  >> Connection 반납됨 [threadId=128]
23/03/17 05:24:22 997 [info]:  >> DB 접속됨 [threaId=130]
23/03/17 05:24:22 999 [info]:  >> Connection 임대됨 [threadId=130]
23/03/17 05:24:23 012 [info]:  >> Connection 반납됨 [threadId=130]
23/03/17 05:24:44 244 [info]:  >> Connection 임대됨 [threadId=130]
23/03/17 05:24:44 251 [info]:  >> Connection 반납됨 [threadId=130]
23/03/17 05:25:41 058 [info]:  >> Connection 임대됨 [threadId=130]
23/03/17 05:25:41 060 [info]:  >> Connection 반납됨 [threadId=130]
23/03/17 05:27:59 157 [info]:  >> Connection 임대됨 [threadId=130]
23/03/17 05:27:59 159 [info]:  >> Connection 반납됨 [threadId=130]
23/03/17 05:28:13 804 [info]:  >> Connection 임대됨 [threadId=130]
23/03/17 05:28:13 806 [info]:  >> Connection 반납됨 [threadId=130]
23/03/17 05:29:43 415 [info]:  >> DB 접속됨 [threaId=133]
23/03/17 05:29:43 418 [info]:  >> Connection 임대됨 [threadId=133]
23/03/17 05:29:43 430 [info]:  >> Connection 반납됨 [threadId=133]
23/03/17 05:32:29 189 [info]:  >> DB 접속됨 [threaId=135]
23/03/17 05:32:29 193 [info]:  >> Connection 임대됨 [threadId=135]
23/03/17 05:32:29 205 [info]:  >> Connection 반납됨 [threadId=135]
23/03/17 05:35:26 307 [info]:  >> DB 접속됨 [threaId=139]
23/03/17 05:35:26 310 [info]:  >> Connection 임대됨 [threadId=139]
23/03/17 05:35:26 315 [info]:  >> Connection 반납됨 [threadId=139]
23/03/17 05:36:57 568 [info]:  >> DB 접속됨 [threaId=141]
23/03/17 05:36:57 572 [info]:  >> Connection 임대됨 [threadId=141]
23/03/17 05:36:57 577 [info]:  >> Connection 반납됨 [threadId=141]
23/03/17 05:37:56 719 [info]:  >> DB 접속됨 [threaId=143]
23/03/17 05:37:56 722 [info]:  >> Connection 임대됨 [threadId=143]
23/03/17 05:37:56 727 [info]:  >> Connection 반납됨 [threadId=143]
23/03/17 05:38:38 572 [info]:  >> DB 접속됨 [threaId=145]
23/03/17 05:38:38 575 [info]:  >> Connection 임대됨 [threadId=145]
23/03/17 05:38:38 582 [info]:  >> Connection 반납됨 [threadId=145]
23/03/17 05:39:03 788 [info]:  >> DB 접속됨 [threaId=148]
23/03/17 05:39:03 791 [info]:  >> Connection 임대됨 [threadId=148]
23/03/17 05:39:03 794 [info]:  >> Connection 반납됨 [threadId=148]
23/03/17 05:40:21 375 [info]:  >> Connection 임대됨 [threadId=148]
23/03/17 05:40:21 378 [info]:  >> Connection 반납됨 [threadId=148]
23/03/17 05:41:27 236 [info]:  >> DB 접속됨 [threaId=150]
23/03/17 05:41:27 240 [info]:  >> Connection 임대됨 [threadId=150]
23/03/17 05:41:27 243 [info]:  >> Connection 반납됨 [threadId=150]
23/03/17 05:42:30 791 [info]:  >> DB 접속됨 [threaId=152]
23/03/17 05:42:30 794 [info]:  >> Connection 임대됨 [threadId=152]
23/03/17 05:42:30 796 [info]:  >> Connection 반납됨 [threadId=152]
23/03/17 05:42:58 148 [info]:  >> DB 접속됨 [threaId=154]
23/03/17 05:42:58 151 [info]:  >> Connection 임대됨 [threadId=154]
23/03/17 05:42:58 153 [info]:  >> Connection 반납됨 [threadId=154]
23/03/17 05:43:21 337 [info]:  >> DB 접속됨 [threaId=156]
23/03/17 05:43:21 339 [info]:  >> Connection 임대됨 [threadId=156]
23/03/17 05:43:21 351 [info]:  >> Connection 반납됨 [threadId=156]
23/03/17 05:44:03 198 [info]:  >> Connection 임대됨 [threadId=156]
23/03/17 05:44:03 200 [info]:  >> Connection 반납됨 [threadId=156]
23/03/17 05:44:12 421 [info]:  >> Connection 임대됨 [threadId=156]
23/03/17 05:44:12 426 [info]:  >> Connection 반납됨 [threadId=156]
23/03/17 06:14:43 274 [info]:  >> DB 접속됨 [threaId=158]
23/03/17 06:14:43 278 [info]:  >> Connection 임대됨 [threadId=158]
23/03/17 06:14:43 290 [info]:  >> Connection 반납됨 [threadId=158]
23/03/17 06:19:40 290 [info]:  >> Connection 임대됨 [threadId=158]
23/03/17 06:19:40 291 [info]:  >> Connection 반납됨 [threadId=158]
23/03/17 06:19:51 217 [info]:  >> Connection 임대됨 [threadId=158]
23/03/17 06:19:51 217 [info]:  >> Connection 반납됨 [threadId=158]
23/03/17 06:36:57 801 [info]:  >> DB 접속됨 [threaId=163]
