23/03/21 00:47:14 033 [info]:  >> Connection 반납됨 [threadId=963]
23/03/21 00:47:14 036 [info]:  >> Connection 임대됨 [threadId=963]
23/03/21 00:47:14 037 [info]:  >> Connection 반납됨 [threadId=963]
23/03/21 00:47:14 041 [info]:  >> Connection 임대됨 [threadId=963]
23/03/21 00:47:14 043 [info]:  >> Connection 반납됨 [threadId=963]
23/03/21 00:47:14 046 [info]:  >> Connection 임대됨 [threadId=963]
23/03/21 00:47:14 047 [info]:  >> Connection 반납됨 [threadId=963]
23/03/21 00:47:14 984 [info]:  >> Connection 임대됨 [threadId=963]
23/03/21 00:47:14 986 [info]:  >> Connection 반납됨 [threadId=963]
23/03/21 00:47:15 491 [info]:  >> Connection 임대됨 [threadId=963]
23/03/21 00:47:15 493 [info]:  >> Connection 반납됨 [threadId=963]
23/03/21 00:47:16 873 [info]:  >> Connection 임대됨 [threadId=963]
23/03/21 00:47:16 875 [info]:  >> Connection 반납됨 [threadId=963]
23/03/21 00:47:17 415 [info]:  >> Connection 임대됨 [threadId=963]
23/03/21 00:47:17 417 [info]:  >> Connection 반납됨 [threadId=963]
23/03/21 00:47:17 796 [info]:  >> Connection 임대됨 [threadId=963]
23/03/21 00:47:17 797 [info]:  >> Connection 반납됨 [threadId=963]
23/03/21 00:47:18 322 [info]:  >> Connection 임대됨 [threadId=963]
23/03/21 00:47:18 324 [info]:  >> Connection 반납됨 [threadId=963]
23/03/21 00:47:18 998 [info]:  >> Connection 임대됨 [threadId=963]
23/03/21 00:47:19 000 [info]:  >> Connection 반납됨 [threadId=963]
23/03/21 00:47:20 753 [info]:  >> Connection 임대됨 [threadId=963]
23/03/21 00:47:20 757 [info]:  >> Connection 반납됨 [threadId=963]
23/03/21 00:47:20 761 [info]:  >> Connection 임대됨 [threadId=963]
23/03/21 00:47:20 763 [info]:  >> Connection 반납됨 [threadId=963]
23/03/21 00:47:26 052 [info]:  >> Connection 임대됨 [threadId=963]
23/03/21 00:47:26 056 [info]:  >> Connection 반납됨 [threadId=963]
23/03/21 00:47:26 070 [info]:  >> Connection 임대됨 [threadId=963]
23/03/21 00:47:26 072 [info]:  >> Connection 반납됨 [threadId=963]
23/03/21 00:56:05 999 [info]:  >> DB 접속됨 [threaId=965]
23/03/21 00:56:06 003 [info]:  >> Connection 임대됨 [threadId=965]
23/03/21 00:56:06 014 [info]:  >> Connection 반납됨 [threadId=965]
23/03/21 00:56:06 024 [info]:  >> Connection 임대됨 [threadId=965]
23/03/21 00:56:06 028 [info]:  >> Connection 반납됨 [threadId=965]
23/03/21 00:56:06 032 [info]:  >> Connection 임대됨 [threadId=965]
23/03/21 00:56:06 035 [info]:  >> Connection 반납됨 [threadId=965]
23/03/21 00:56:06 042 [info]:  >> Connection 임대됨 [threadId=965]
23/03/21 00:56:06 045 [info]:  >> Connection 반납됨 [threadId=965]
23/03/21 00:56:09 750 [info]:  >> DB 접속됨 [threaId=967]
23/03/21 00:56:09 752 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 00:56:09 762 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 00:56:09 769 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 00:56:09 772 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 00:56:09 777 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 00:56:09 779 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 00:56:09 784 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 00:56:09 786 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 00:58:23 168 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 00:58:23 177 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 00:58:23 222 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 00:58:23 225 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 00:58:27 081 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 00:58:27 085 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 00:58:27 106 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 00:58:27 108 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:12:05 701 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:12:05 704 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:12:06 839 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:12:06 841 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:12:09 237 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:12:09 241 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:12:09 259 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:12:09 260 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:12:12 535 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:12:12 538 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:12:13 847 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:12:13 849 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:22:45 544 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:22:45 546 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:22:52 154 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:22:52 155 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:22:52 158 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:22:52 161 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:22:52 163 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:22:52 165 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:22:52 168 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:22:52 169 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:23:19 672 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:23:19 673 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:23:25 990 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:23:25 992 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:23:25 995 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:23:25 996 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:23:25 999 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:23:26 000 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:23:26 001 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:23:26 003 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:23:41 647 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:23:41 648 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:23:43 436 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:23:43 439 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:23:43 461 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:23:43 464 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:28:40 488 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:28:40 489 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:28:40 839 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:28:40 841 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:28:54 974 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:28:54 975 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:28:56 886 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:28:56 887 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:28:56 889 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:28:56 891 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:28:56 893 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:28:56 894 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:28:56 896 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:28:56 897 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:29:21 611 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:29:21 613 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:29:23 523 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:29:23 525 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:29:23 530 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:29:23 532 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:29:23 534 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:29:23 536 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:29:23 538 [info]:  >> Connection 임대됨 [threadId=967]
23/03/21 01:29:23 540 [info]:  >> Connection 반납됨 [threadId=967]
23/03/21 01:30:30 451 [info]:  >> DB 접속됨 [threaId=969]
23/03/21 01:30:30 453 [info]:  >> Connection 임대됨 [threadId=969]
23/03/21 01:30:30 464 [info]:  >> Connection 반납됨 [threadId=969]
23/03/21 01:30:30 470 [info]:  >> Connection 임대됨 [threadId=969]
23/03/21 01:30:30 473 [info]:  >> Connection 반납됨 [threadId=969]
23/03/21 01:30:30 476 [info]:  >> Connection 임대됨 [threadId=969]
23/03/21 01:30:30 480 [info]:  >> Connection 반납됨 [threadId=969]
23/03/21 01:30:30 483 [info]:  >> Connection 임대됨 [threadId=969]
23/03/21 01:30:30 485 [info]:  >> Connection 반납됨 [threadId=969]
23/03/21 01:31:56 907 [info]:  >> DB 접속됨 [threaId=972]
23/03/21 01:31:56 911 [info]:  >> Connection 임대됨 [threadId=972]
23/03/21 01:31:56 921 [info]:  >> Connection 반납됨 [threadId=972]
23/03/21 01:31:56 928 [info]:  >> Connection 임대됨 [threadId=972]
23/03/21 01:31:56 932 [info]:  >> Connection 반납됨 [threadId=972]
23/03/21 01:31:56 936 [info]:  >> Connection 임대됨 [threadId=972]
23/03/21 01:31:56 938 [info]:  >> Connection 반납됨 [threadId=972]
23/03/21 01:31:56 941 [info]:  >> Connection 임대됨 [threadId=972]
23/03/21 01:31:56 944 [info]:  >> Connection 반납됨 [threadId=972]
23/03/21 01:32:11 452 [info]:  >> DB 접속됨 [threaId=974]
23/03/21 01:32:11 455 [info]:  >> Connection 임대됨 [threadId=974]
23/03/21 01:32:11 467 [info]:  >> Connection 반납됨 [threadId=974]
23/03/21 01:32:11 474 [info]:  >> Connection 임대됨 [threadId=974]
23/03/21 01:32:11 478 [info]:  >> Connection 반납됨 [threadId=974]
23/03/21 01:32:11 482 [info]:  >> Connection 임대됨 [threadId=974]
23/03/21 01:32:11 484 [info]:  >> Connection 반납됨 [threadId=974]
23/03/21 01:32:11 487 [info]:  >> Connection 임대됨 [threadId=974]
23/03/21 01:32:11 489 [info]:  >> Connection 반납됨 [threadId=974]
23/03/21 01:34:48 947 [info]:  >> Connection 임대됨 [threadId=974]
23/03/21 01:34:48 951 [info]:  >> Connection 반납됨 [threadId=974]
23/03/21 01:34:49 361 [info]:  >> Connection 임대됨 [threadId=974]
23/03/21 01:34:49 364 [info]:  >> Connection 반납됨 [threadId=974]
23/03/21 01:34:49 718 [info]:  >> Connection 임대됨 [threadId=974]
23/03/21 01:34:49 720 [info]:  >> Connection 반납됨 [threadId=974]
23/03/21 01:34:49 986 [info]:  >> Connection 임대됨 [threadId=974]
23/03/21 01:34:49 988 [info]:  >> Connection 반납됨 [threadId=974]
23/03/21 01:34:54 161 [info]:  >> Connection 임대됨 [threadId=974]
23/03/21 01:34:54 162 [info]:  >> Connection 반납됨 [threadId=974]
23/03/21 01:34:54 541 [info]:  >> Connection 임대됨 [threadId=974]
23/03/21 01:34:54 542 [info]:  >> Connection 반납됨 [threadId=974]
23/03/21 01:35:04 850 [info]:  >> Connection 임대됨 [threadId=974]
23/03/21 01:35:04 852 [info]:  >> Connection 반납됨 [threadId=974]
23/03/21 01:35:07 628 [info]:  >> Connection 임대됨 [threadId=974]
23/03/21 01:35:07 629 [info]:  >> Connection 반납됨 [threadId=974]
23/03/21 01:35:10 106 [info]:  >> Connection 임대됨 [threadId=974]
23/03/21 01:35:10 108 [info]:  >> Connection 반납됨 [threadId=974]
23/03/21 01:35:10 612 [info]:  >> Connection 임대됨 [threadId=974]
23/03/21 01:35:10 613 [info]:  >> Connection 반납됨 [threadId=974]
23/03/21 01:35:48 038 [info]:  >> DB 접속됨 [threaId=976]
23/03/21 01:35:48 041 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:35:48 049 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:35:48 057 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:35:48 060 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:35:48 064 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:35:48 066 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:35:48 069 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:35:48 071 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:01 583 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:01 587 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:01 974 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:01 976 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:31 834 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:31 846 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:31 850 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:31 852 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:31 856 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:31 858 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:31 862 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:31 863 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:37 674 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:37 674 [info]:  >> Connection 반납됨 [threadId=976]
23/03/21 01:36:44 718 [info]:  >> Connection 임대됨 [threadId=976]
23/03/21 01:36:44 720 [info]:  >> Connection 반납됨 [threadId=976]
